title,description
The Matrix,A computer hacker learns about the true nature of his reality and his role in the war against its controllers.
Inception,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.
Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Prestige,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion."
Memento,A man with short-term memory loss attempts to track down his wife's murderer.
The Dark Knight,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham.
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City."
The Lord of the Rings,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring.
The Hobbit,A reluctant Hobbit sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home.
Avatar,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following orders and protecting an alien civilization.
